sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Steel Feder,Albion,Meyer,$490 ,3lbs,121cm/47.75in,Rounded,http://www.albion-swords.com/swords/albion/maestro/sword-practice-meyer.htm,
Steel Feder,Arms and Armor,Fechtbucht Trainer,$460 ,3.6lbs,123cm/48.50in,Rounded,http://arms-n-armor.com/train209.html,
Steel Feder,Arms and Armor,Fechtbucht,$480 ,3.6lbs,123cm/48.50in,Rounded,http://arms-n-armor.com/train187.html,
Steel Feder,Arms and Armor,Fechterspiel Trainer,$490 ,3.3lbs,123cm/48.50in,Rounded,http://arms-n-armor.com/train204.html,
Steel Feder,Arms and Armor,Fechterspiel,$520 ,3.3lbs,123cm/48.50in,Rounded,http://arms-n-armor.com/train203.html,
Steel Feder,Aureus Swords,Federschwert Swoosh Standard,$438 ,3lbs,130cm/51in,Thickened,http://aureusswords.com/federschwert-swoosh-standard-p-1.html,
Steel Feder,Aureus Swords,Federschwert Swoosh Renassiance,$460 ,3lbs,128cm/50in,Thickened,http://aureusswords.com/federschwert-swoosh-renaissance-p-4.html,
Steel Feder,Black Horse Blades,Arbeitspferd Feder,$660 ,3.2lbs,127cm/50in,Thickened,http://www.blackhorseblades.com/hema/arbeitspferd-feder,
Steel Feder,Castille Armory,Feder,$335 ,3lbs,122cm/48in,Thickened,http://castillearmory.com/all-products/standard-feder/,Discontinued?
Steel Feder,Castille Armory,Mark V Feder,$375 ,3.3lbs,132cm/52in,Thickened,http://castillearmory.com/all-products/mark-v-feder/,
Steel Feder,CAS Iberia,Kingston Arms Sport Feder,$250 ,3lbs,131cm/51.5in,Thickened,http://casiberia.com/product/club-sport-federschwert/sm36070,
Steel Feder,Chlebowski,Standard Federschwert,$200 ,3.5lbs,125cm/49.3in,Rolled,http://szymonchlebowski.pl/en_US/products/federschwert/,
Steel Feder,Chlebowski,Light Federschwert,$370 ,2.5lbs,125cm/49.3in,Rolled,https://swordequip.com/product-category/swords/,
Steel Feder,Comfort Fencing,Feder,$480 ,3.2lbs,132cm/52in,Rolled,http://www.wildgeesefencing.com/shop/comfort-fencing-feder-88cm-pob,"OOS, long shipping times"
Steel Feder,Danelli Armouries,2016 Feder,$280 ,3.7lbs,138cm/54in,Thickened,http://www.danelliarmouries.com/index.php/basic-swords/95-feder,Shop Closed
Steel Feder,Danelli Armouries,2016 Feder Light,$280 ,3.3lbs,138cm/54in,Thickened,http://www.danelliarmouries.com/index.php/basic-swords/124-feder-light,Shop Closed
Steel Feder,Darksword,HEMA Federschwert,$400 ,3.3lbs,126cm/49.5in,Rounded,http://www.darksword-armory.com/medieval-weapon/swords/hema-federschwert-sword-1702/,Reports of bad tempering/heat treatments
Steel Feder,Elgur,Paratschert Feder,"$1,150 ",3.6lbs,135cm/53in,Rounded,http://www.sword-elgur.com/katalog/paratschwert-federschwert.html?cat=6&pn=44,
Steel Feder,Ensifer,Light,$280 ,3.3lbs,124cm/49in,Rolled,https://ensifer.carbonmade.com/projects/96362/21927490,
Steel Feder,Ensifer,Heavy,$300 ,3.5lbs,125cm/49in,Rolled,https://ensifer.carbonmade.com/projects/96362/21184905,
Steel Feder,Ensifer,Long,$330 ,3.7lbs,133cm/52in,Rolled,https://ensifer.carbonmade.com/projects/96362/21990079,
Steel Feder,Fabri Armorum,Federschwert,$200 ,3.7lbs,125cm/49in,Thickened,http://www.fabri-armorum-team.com/en/product/federschwert/,
Steel Feder,Kvetun Armoury,Tournament Federschwert ,$190 ,3.5lbs,133cm/52in,Rolled,https://vk.com/market-106854652?w=product-106854652_459616,
Steel Feder,Kvetun Armoury,Standard Federschwert,$270 ,3.5lbs,133cm/52in,Rolled,https://www.facebook.com/pg/kvetun/photos/?tab=album&album_id=907299282765845,
Steel Feder,Landsknecht Emprorium,Munitions-Grade Fechtfeder,$200 ,3.2lbs,128cm/50in,Rolled,https://www.etsy.com/listing/271083980/made-to-order-munitions-grade-fechtfeder,Currently not listed/OOS
Steel Feder,Mac Arms,Longsword,$175 ,3.4lbs,138cm/54in,Rolled,http://zbrane.mac-armour.cz/gallery.html?folder=210,
Steel Feder,Malleus Martialis,Meister 2.0,$380 ,3lbs,131cm/51.5in,Rolled,http://www.wildgeesefencing.com/malleus-martialis-swords/pre-order-hema-federschwert-meister-20?category=federschwert,
Steel Feder,Malleus Martialis,Shark 2.0,$355 ,3.1lbs,131cm/51.5in,Rolled,http://www.wildgeesefencing.com/malleus-martialis-swords/pre-order-hema-federschwert-shark-20?category=federschwert,
Steel Feder,Neyman Fencing,Heavy Feder,$280 ,3.6lbs,128cm/50,Thickened,https://neymanfencing.com/glowna/38-miecz.html,
Steel Feder,Neyman Fencing,Tournament Feder,$345 ,2.8lbs,128cm/50,Thickened,https://neymanfencing.com/glowna/38-miecz.html,
